id, showId, rank, name, showName, seasonName, weeksInTopTen
80226859, 80211991, 1, You: Season 4, You, Season 4, 5
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81519224, 81519223, 3, The Glory: Season 1, The Glory, Season 1, 3
81317563, 81317562, 4, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
80236529, 80236319, 5, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81481492, 81478080, 6, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81354517, 80236318, 7, Outer Banks: Season 3, Outer Banks, Season 3, 4
81480323, 81480322, 8, Outlast: Season 1, Outlast, Season 1, 1
81277886, 80991848, 9, Sex/Life: Season 2, Sex/Life, Season 2, 3
81478081, 81478080, 10, Wrong Side of the Tracks: Season 1, Wrong Side of the Tracks, Season 1, 6
