id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 6
80226859, 80211991, 2, You: Season 4, You, Season 4, 5
81313284, 81313283, 3, Rana Naidu: Season 1, Rana Naidu, Season 1, 2
81341713, 80074249, 4, The Last Kingdom: Season 5, The Last Kingdom, Season 5, 1
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81212197, 81307163, 6, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81655019, 81410834, 7, True Beauty, True Beauty, True Beauty, 6
81277886, 80991848, 8, Sex/Life: Season 2, Sex/Life, Season 2, 3
81654990, 81422314, 9, Mr. Queen, Mr. Queen, Mr. Queen, 5
81234801, 81026300, 10, Next in Fashion: Season 2, Next in Fashion, Season 2, 3
