id, showId, rank, name, showName, seasonName, weeksInTopTen
81209173, 80236319, 1, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
80226859, 80211991, 2, You: Season 4, You, Season 4, 6
81277886, 80991848, 3, Sex/Life: Season 2, Sex/Life, Season 2, 3
81519224, 81519223, 4, The Glory: Season 1, The Glory, Season 1, 2
81212197, 81307163, 5, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
80236529, 80236319, 6, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81354517, 80236318, 7, Outer Banks: Season 3, Outer Banks, Season 3, 4
81234801, 81026300, 8, Next in Fashion: Season 2, Next in Fashion, Season 2, 3
81497818, 81497817, 9, Perfect Match: Season 1, Perfect Match, Season 1, 5
81001045, 80991848, 10, Sex/Life: Season 1, Sex/Life, Season 1, 11
