id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 3
80226859, 80211991, 2, You: Season 4, You, Season 4, 5
81609359, 81609358, 3, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1, 22
81229164, 70205672, 4, La Reina del Sur: Season 3, La Reina del Sur, Season 3, 12
80047470, 80047032, 5, Pasión de Gavilanes: Season 1, Pasión de Gavilanes, Season 1, 63
81481492, 81478080, 6, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81396407, 81396406, 7, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1, 30
81209173, 80236319, 8, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81317563, 81317562, 9, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
80035484, 80035684, 10, Pablo Escobar: el patrón del mal: Season 1, Pablo Escobar: el patrón del mal, Season 1, 31
