id, showId, rank, name, showName, seasonName, weeksInTopTen
81209173, 80236319, 1, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81519224, 81519223, 2, The Glory: Season 1, The Glory, Season 1, 3
80226859, 80211991, 3, You: Season 4, You, Season 4, 5
80236529, 80236319, 4, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81317563, 81317562, 5, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
81277886, 80991848, 6, Sex/Life: Season 2, Sex/Life, Season 2, 3
81481492, 81478080, 7, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81001045, 80991848, 8, Sex/Life: Season 1, Sex/Life, Season 1, 9
81354517, 80236318, 9, Outer Banks: Season 3, Outer Banks, Season 3, 4
81478081, 81478080, 10, Wrong Side of the Tracks: Season 1, Wrong Side of the Tracks, Season 1, 6
