id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 4
80226859, 80211991, 2, You: Season 4, You, Season 4, 5
81635094, 81635086, 3, Maktoub Aalia: Season 1, Maktoub Aalia, Season 1, 2
81341713, 80074249, 4, The Last Kingdom: Season 5, The Last Kingdom, Season 5, 1
81212197, 81307163, 5, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81209173, 80236319, 6, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81354517, 80236318, 7, Outer Banks: Season 3, Outer Banks, Season 3, 4
60033708, 70153404, 8, Friends: Season 6, Friends, Season 6, 57
81655019, 81410834, 9, True Beauty, True Beauty, True Beauty, 6
60035713, 70153404, 10, Friends: Season 7, Friends, Season 7, 31
