id, showId, rank, name, showName, seasonName, weeksInTopTen
81341713, 80074249, 1, The Last Kingdom: Season 5, The Last Kingdom, Season 5, 2
80226859, 80211991, 2, You: Season 4, You, Season 4, 5
81519224, 81519223, 3, The Glory: Season 1, The Glory, Season 1, 1
81354517, 80236318, 4, Outer Banks: Season 3, Outer Banks, Season 3, 4
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81277886, 80991848, 6, Sex/Life: Season 2, Sex/Life, Season 2, 3
81212197, 81307163, 7, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81041933, 80127001, 8, Resurrection: Ertugrul: Season 4, Resurrection: Ertugrul, Season 4, 3
80074246, 80074249, 9, The Last Kingdom: Season 1, The Last Kingdom, Season 1, 1
81001045, 80991848, 10, Sex/Life: Season 1, Sex/Life, Season 1, 11
