id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 10
81594876, 81594875, 2, Unlock My Boss, Unlock My Boss, Unlock My Boss, 2
81212197, 81307163, 3, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81654990, 81422314, 4, Mr. Queen, Mr. Queen, Mr. Queen, 5
81649878, 81649877, 5, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1, 9
81655019, 81410834, 6, True Beauty, True Beauty, True Beauty, 6
81209173, 80236319, 7, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
80226859, 80211991, 8, You: Season 4, You, Season 4, 4
81552616, 81552615, 9, Taxi Driver, Taxi Driver, Taxi Driver, 15
81493079, 81493078, 10, In the Name of God: A Holy Betrayal: Season 1, In the Name of God: A Holy Betrayal, Season 1, 2
