id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 5
80226859, 80211991, 2, You: Season 4, You, Season 4, 4
81229164, 70205672, 3, La Reina del Sur: Season 3, La Reina del Sur, Season 3, 12
81649878, 81649877, 4, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1, 1
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81231975, 81231974, 6, Wednesday: Season 1, Wednesday, Season 1, 17
81494918, 81494917, 7, Triptych: Season 1, Triptych, Season 1, 4
81481492, 81478080, 8, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81212197, 81307163, 9, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81609359, 81609358, 10, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1, 21
