id, showId, rank, name, showName, seasonName, weeksInTopTen
80226859, 80211991, 1, You: Season 4, You, Season 4, 5
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
80236116, 70285581, 3, Outlander: Season 6, Outlander, Season 6, 2
81519224, 81519223, 4, The Glory: Season 1, The Glory, Season 1, 1
81354517, 80236318, 5, Outer Banks: Season 3, Outer Banks, Season 3, 4
81277886, 80991848, 6, Sex/Life: Season 2, Sex/Life, Season 2, 3
81481492, 81478080, 7, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81212197, 81307163, 8, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81462320, 80204890, 9, Formula 1: Drive to Survive: Season 5, Formula 1: Drive to Survive, Season 5, 4
80236529, 80236319, 10, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
