id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 6
81341713, 80074249, 2, The Last Kingdom: Season 5, The Last Kingdom, Season 5, 1
81313284, 81313283, 3, Rana Naidu: Season 1, Rana Naidu, Season 1, 2
80226859, 80211991, 4, You: Season 4, You, Season 4, 4
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81655019, 81410834, 6, True Beauty, True Beauty, True Beauty, 6
81212197, 81307163, 7, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81041933, 80127001, 8, Resurrection: Ertugrul: Season 4, Resurrection: Ertugrul, Season 4, 54
81654990, 81422314, 9, Mr. Queen, Mr. Queen, Mr. Queen, 5
80074246, 80074249, 10, The Last Kingdom: Season 1, The Last Kingdom, Season 1, 1
