id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 6
81313284, 81313283, 2, Rana Naidu: Season 1, Rana Naidu, Season 1, 2
80226859, 80211991, 3, You: Season 4, You, Season 4, 5
81212197, 81307163, 4, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81341713, 80074249, 6, The Last Kingdom: Season 5, The Last Kingdom, Season 5, 1
81655019, 81410834, 7, True Beauty, True Beauty, True Beauty, 6
81654990, 81422314, 8, Mr. Queen, Mr. Queen, Mr. Queen, 5
81594876, 81594875, 9, Unlock My Boss, Unlock My Boss, Unlock My Boss, 2
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2, 3
