id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 12
81493079, 81493078, 2, In the Name of God: A Holy Betrayal: Season 1, In the Name of God: A Holy Betrayal, Season 1, 3
81671940, 81671939, 3, Divorce Attorney Shin: Season 1, Divorce Attorney Shin, Season 1, 2
81649878, 81649877, 4, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1, 9
81654990, 81422314, 5, Mr. Queen, Mr. Queen, Mr. Queen, 5
81680079, 81551819, 6, I am Solo: Part 13 -, I am Solo, Part 13 -, 4
81651390, 81651389, 7, Brave Detectives: Season 2, Brave Detectives, Season 2, 3
80991109, 80991107, 8, Mr. Sunshine: Season 1, Mr. Sunshine, Season 1, 20
81679533, 81679532, 9, Blue Marble World Tour: Season 1, Blue Marble World Tour, Season 1, 1
81463557, 81463556, 10, Love to Hate You: Season 1, Love to Hate You, Season 1, 5
