id, showId, rank, name, showName, seasonName, weeksInTopTen
81317563, 81317562, 1, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
81481492, 81478080, 2, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81601882, 81601880, 3, El príncipe: Season 2, El príncipe, Season 2, 2
81601881, 81601880, 4, El príncipe: Season 1, El príncipe, Season 1, 3
80226859, 80211991, 5, You: Season 4, You, Season 4, 5
81621190, 81621111, 6, La Caza: : Monteperdido, La Caza, : Monteperdido, 2
81209173, 80236319, 7, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81519224, 81519223, 8, The Glory: Season 1, The Glory, Season 1, 1
81621181, 81621110, 9, Sequía: Season 1, Sequía, Season 1, 3
81478081, 81478080, 10, Wrong Side of the Tracks: Season 1, Wrong Side of the Tracks, Season 1, 10
