id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 6
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
80226859, 80211991, 3, You: Season 4, You, Season 4, 5
81212197, 81307163, 4, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81313284, 81313283, 5, Rana Naidu: Season 1, Rana Naidu, Season 1, 1
81277886, 80991848, 6, Sex/Life: Season 2, Sex/Life, Season 2, 3
81654990, 81422314, 7, Mr. Queen, Mr. Queen, Mr. Queen, 5
81655019, 81410834, 8, True Beauty, True Beauty, True Beauty, 6
81354517, 80236318, 9, Outer Banks: Season 3, Outer Banks, Season 3, 4
81001045, 80991848, 10, Sex/Life: Season 1, Sex/Life, Season 1, 10
