id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 3
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
80226859, 80211991, 3, You: Season 4, You, Season 4, 6
80236529, 80236319, 4, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81277886, 80991848, 5, Sex/Life: Season 2, Sex/Life, Season 2, 3
81317563, 81317562, 6, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
81231975, 81231974, 7, Wednesday: Season 1, Wednesday, Season 1, 16
81212197, 81307163, 8, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81329693, 70177057, 9, The Walking Dead: Season 11, The Walking Dead, Season 11, 7
81001045, 80991848, 10, Sex/Life: Season 1, Sex/Life, Season 1, 12
