id, showId, rank, name, showName, seasonName, weeksInTopTen
81209173, 80236319, 1, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81277886, 80991848, 2, Sex/Life: Season 2, Sex/Life, Season 2, 3
80236529, 80236319, 3, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81001045, 80991848, 4, Sex/Life: Season 1, Sex/Life, Season 1, 13
80226859, 80211991, 5, You: Season 4, You, Season 4, 3
80212200, 80211991, 6, You: Season 1, You, Season 1, 12
81231975, 81231974, 7, Wednesday: Season 1, Wednesday, Season 1, 17
81396546, 81396545, 8, The Recruit: Season 1, The Recruit, Season 1, 11
80226954, 80211991, 9, You: Season 2, You, Season 2, 9
70281290, 70281312, 10, The Blacklist: Season 1, The Blacklist, Season 1, 8
