id, showId, rank, name, showName, seasonName, weeksInTopTen
81481492, 81478080, 1, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81519224, 81519223, 2, The Glory: Season 1, The Glory, Season 1, 2
81317563, 81317562, 3, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
80226859, 80211991, 4, You: Season 4, You, Season 4, 4
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81478081, 81478080, 6, Wrong Side of the Tracks: Season 1, Wrong Side of the Tracks, Season 1, 11
81494918, 81494917, 7, Triptych: Season 1, Triptych, Season 1, 4
81609359, 81609358, 8, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1, 22
81480323, 81480322, 9, Outlast: Season 1, Outlast, Season 1, 1
81644788, 81644787, 10, Maestro in Blue: Season 1, Maestro in Blue, Season 1, 1
