id, showId, rank, name, showName, seasonName
81481492, 81478080, 1, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
81519224, 81519223, 2, The Glory: Season 1, The Glory, Season 1
80226859, 80211991, 3, You: Season 4, You, Season 4
81317563, 81317562, 4, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81478081, 81478080, 5, Wrong Side of the Tracks: Season 1, Wrong Side of the Tracks, Season 1
81209173, 80236319, 6, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81609359, 81609358, 7, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1
81495693, 81520490, 8, Community Squad: Season 1, Community Squad, Season 1
80035484, 80035684, 9, Pablo Escobar, el patrón del mal: Season 1, Pablo Escobar, el patrón del mal, Season 1
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2
