id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2
80059313, 80059506, 3, Chiquititas, Chiquititas, Chiquititas
80226859, 80211991, 4, You: Season 4, You, Season 4
81317563, 81317562, 5, Sky High: The Series: Season 1, Sky High: The Series, Season 1
80236529, 80236319, 6, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81481492, 81478080, 7, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
81354517, 80236318, 8, Outer Banks: Season 3, Outer Banks, Season 3
81649878, 81649877, 9, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2
