id, showId, rank, name, showName, seasonName
81209173, 80236319, 1, Shadow and Bone: Season 2, Shadow and Bone, Season 2
80226859, 80211991, 2, You: Season 4, You, Season 4
81277886, 80991848, 3, Sex/Life: Season 2, Sex/Life, Season 2
81519224, 81519223, 4, The Glory: Season 1, The Glory, Season 1
81212197, 81307163, 5, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
80236529, 80236319, 6, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81354517, 80236318, 7, Outer Banks: Season 3, Outer Banks, Season 3
81234801, 81026300, 8, Next in Fashion: Season 2, Next in Fashion, Season 2
81497818, 81497817, 9, Perfect Match: Season 1, Perfect Match, Season 1
81001045, 80991848, 10, Sex/Life: Season 1, Sex/Life, Season 1
