id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 2
81609359, 81609358, 2, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1, 22
80226859, 80211991, 3, You: Season 4, You, Season 4, 4
80035484, 80035684, 4, Pablo Escobar&#44; el patrón del mal: Season 1, Pablo Escobar&#44; el patrón del mal, Season 1, 84
81481492, 81478080, 5, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81209173, 80236319, 6, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81229164, 70205672, 7, La Reina del Sur: Season 3, La Reina del Sur, Season 3, 12
80047470, 80047032, 8, Pasión de Gavilanes: Season 1, Pasión de Gavilanes, Season 1, 78
81396407, 81396406, 9, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1, 36
81055394, 81022683, 10, The Queen of Flow: Season 2, The Queen of Flow, Season 2, 32
