id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 3
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81229164, 70205672, 3, La Reina del Sur: Season 3, La Reina del Sur, Season 3, 12
80226859, 80211991, 4, You: Season 4, You, Season 4, 4
80035484, 80035684, 5, Pablo Escobar&#44; el patrón del mal: Season 1, Pablo Escobar&#44; el patrón del mal, Season 1, 86
81396407, 81396406, 6, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1, 48
81317563, 81317562, 7, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
81609359, 81609358, 8, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1, 22
81481492, 81478080, 9, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
80047470, 80047032, 10, Pasión de Gavilanes: Season 1, Pasión de Gavilanes, Season 1, 76
