id, showId, rank, name, showName, seasonName
81635094, 81635086, 1, Maktoub Aalia: Season 1, Maktoub Aalia, Season 1
80226859, 80211991, 2, You: Season 4, You, Season 4
81519224, 81519223, 3, The Glory: Season 1, The Glory, Season 1
81209173, 80236319, 4, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81341713, 80074249, 5, The Last Kingdom: Season 5, The Last Kingdom, Season 5
81277886, 80991848, 6, Sex/Life: Season 2, Sex/Life, Season 2
81212197, 81307163, 7, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81354517, 80236318, 8, Outer Banks: Season 3, Outer Banks, Season 3
80236529, 80236319, 9, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81001045, 80991848, 10, Sex/Life: Season 1, Sex/Life, Season 1
