id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81609359, 81609358, 2, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1
80035484, 80035684, 3, Pablo Escobar, el patrón del mal: Season 1, Pablo Escobar, el patrón del mal, Season 1
81229164, 70205672, 4, La Reina del Sur: Season 3, La Reina del Sur, Season 3
80226859, 80211991, 5, You: Season 4, You, Season 4
81649878, 81649877, 6, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1
81396407, 81396406, 7, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1
80047470, 80047032, 8, Pasión de Gavilanes: Season 1, Pasión de Gavilanes, Season 1
81198209, 81167570, 9, El final del paraíso: Season 1, El final del paraíso, Season 1
81654990, 81422314, 10, Mr. Queen, Mr. Queen, Mr. Queen
