id, showId, rank, name, showName, seasonName
80226859, 80211991, 1, You: Season 4, You, Season 4
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81504300, 81504299, 3, Too Hot to Handle: Germany: Season 1, Too Hot to Handle: Germany, Season 1
81519224, 81519223, 4, The Glory: Season 1, The Glory, Season 1
81354517, 80236318, 5, Outer Banks: Season 3, Outer Banks, Season 3
80236529, 80236319, 6, Shadow and Bone: Season 1, Shadow and Bone, Season 1
70151275, 70175633, 7, Luther: Series 1, Luther, Series 1
81212197, 81307163, 8, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81317563, 81317562, 9, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2
