id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
80035484, 80035684, 2, Pablo Escobar, el patrón del mal: Season 1, Pablo Escobar, el patrón del mal, Season 1
80047470, 80047032, 3, Pasión de Gavilanes: Season 1, Pasión de Gavilanes, Season 1
80226859, 80211991, 4, You: Season 4, You, Season 4
81609359, 81609358, 5, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1
81396407, 81396406, 6, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1
81229164, 70205672, 7, La Reina del Sur: Season 3, La Reina del Sur, Season 3
81649878, 81649877, 8, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1
81209173, 80236319, 9, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81435004, 81398330, 10, Newly Rich, Newly Poor: Season 1, Newly Rich, Newly Poor, Season 1
