id, showId, rank, name, showName, seasonName
81209173, 80236319, 1, Shadow and Bone: Season 2, Shadow and Bone, Season 2
80226859, 80211991, 2, You: Season 4, You, Season 4
81519224, 81519223, 3, The Glory: Season 1, The Glory, Season 1
81277886, 80991848, 4, Sex/Life: Season 2, Sex/Life, Season 2
81354517, 80236318, 5, Outer Banks: Season 3, Outer Banks, Season 3
80236529, 80236319, 6, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81317563, 81317562, 7, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81001045, 80991848, 8, Sex/Life: Season 1, Sex/Life, Season 1
81231975, 81231974, 9, Wednesday: Season 1, Wednesday, Season 1
81480323, 81480322, 10, Outlast: Season 1, Outlast, Season 1
