id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81594876, 81594875, 2, Unlock My Boss, Unlock My Boss, Unlock My Boss
81649878, 81649877, 3, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1
81493079, 81493078, 4, In the Name of God: A Holy Betrayal: Season 1, In the Name of God: A Holy Betrayal, Season 1
81552616, 81552615, 5, Taxi Driver, Taxi Driver, Taxi Driver
81654990, 81422314, 6, Mr. Queen, Mr. Queen, Mr. Queen
81212197, 81307163, 7, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81655019, 81410834, 8, True Beauty, True Beauty, True Beauty
81209173, 80236319, 9, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2
