id, showId, rank, name, showName, seasonName
80226859, 80211991, 1, You: Season 4, You, Season 4
81212197, 81307163, 2, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81209173, 80236319, 3, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81480323, 81480322, 4, Outlast: Season 1, Outlast, Season 1
81519224, 81519223, 5, The Glory: Season 1, The Glory, Season 1
81354517, 80236318, 6, Outer Banks: Season 3, Outer Banks, Season 3
81277886, 80991848, 7, Sex/Life: Season 2, Sex/Life, Season 2
81462320, 80204890, 8, Formula 1: Drive to Survive: Season 5, Formula 1: Drive to Survive, Season 5
80236529, 80236319, 9, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81666383, 81228402, 10, Below Deck, Below Deck, Below Deck
