id, showId, rank, name, showName, seasonName
80226859, 80211991, 1, You: Season 4, You, Season 4
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81277886, 80991848, 3, Sex/Life: Season 2, Sex/Life, Season 2
81519224, 81519223, 4, The Glory: Season 1, The Glory, Season 1
81354517, 80236318, 5, Outer Banks: Season 3, Outer Banks, Season 3
81212197, 81307163, 6, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81317563, 81317562, 7, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81497818, 81497817, 8, Perfect Match: Season 1, Perfect Match, Season 1
80236529, 80236319, 9, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81481492, 81478080, 10, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
