id, showId, rank, name, showName, seasonName
81588927, 81588913, 1, The Sea Beyond: Season 2, The Sea Beyond, Season 2
81588914, 81588913, 2, The Sea Beyond: Season 1, The Sea Beyond, Season 1
80226859, 80211991, 3, You: Season 4, You, Season 4
81519224, 81519223, 4, The Glory: Season 1, The Glory, Season 1
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81668232, 81668231, 6, Viola come il mare: Season 1, Viola come il mare, Season 1
81354517, 80236318, 7, Outer Banks: Season 3, Outer Banks, Season 3
81277886, 80991848, 8, Sex/Life: Season 2, Sex/Life, Season 2
81481492, 81478080, 9, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
81317563, 81317562, 10, Sky High: The Series: Season 1, Sky High: The Series, Season 1
