id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
80226859, 80211991, 2, You: Season 4, You, Season 4
81635094, 81635086, 3, Maktoub Aalia: Season 1, Maktoub Aalia, Season 1
81341713, 80074249, 4, The Last Kingdom: Season 5, The Last Kingdom, Season 5
81212197, 81307163, 5, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81209173, 80236319, 6, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81354517, 80236318, 7, Outer Banks: Season 3, Outer Banks, Season 3
60033708, 70153404, 8, Friends: Season 6, Friends, Season 6
81655019, 81410834, 9, True Beauty, True Beauty, True Beauty
60035713, 70153404, 10, Friends: Season 7, Friends, Season 7
