id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
80226859, 80211991, 2, You: Season 4, You, Season 4
81341713, 80074249, 3, The Last Kingdom: Season 5, The Last Kingdom, Season 5
81212197, 81307163, 4, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81313284, 81313283, 5, Rana Naidu: Season 1, Rana Naidu, Season 1
81209173, 80236319, 6, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81635094, 81635086, 7, Maktoub Aalia: Season 1, Maktoub Aalia, Season 1
81655019, 81410834, 8, True Beauty, True Beauty, True Beauty
81654990, 81422314, 9, Mr. Queen, Mr. Queen, Mr. Queen
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2
