id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
80226859, 80211991, 2, You: Season 4, You, Season 4
81212197, 81307163, 3, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81209173, 80236319, 4, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81480323, 81480322, 5, Outlast: Season 1, Outlast, Season 1
81354517, 80236318, 6, Outer Banks: Season 3, Outer Banks, Season 3
81028307, 80002479, 7, Peaky Blinders: Season 6, Peaky Blinders, Season 6
80236529, 80236319, 8, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81277886, 80991848, 9, Sex/Life: Season 2, Sex/Life, Season 2
81234801, 81026300, 10, Next in Fashion: Season 2, Next in Fashion, Season 2
