id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 3
80035484, 80035684, 2, Pablo Escobar&#44; el patrón del mal: Season 1, Pablo Escobar&#44; el patrón del mal, Season 1, 90
81609359, 81609358, 3, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1, 22
80047470, 80047032, 4, Pasión de Gavilanes: Season 1, Pasión de Gavilanes, Season 1, 87
81229164, 70205672, 5, La Reina del Sur: Season 3, La Reina del Sur, Season 3, 12
80226859, 80211991, 6, You: Season 4, You, Season 4, 4
81396407, 81396406, 7, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1, 48
81649878, 81649877, 8, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1, 1
81209173, 80236319, 9, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81434803, 81398329, 10, Pedro el escamoso: Season 1, Pedro el escamoso, Season 1, 38
