id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2
80226859, 80211991, 3, You: Season 4, You, Season 4
80236529, 80236319, 4, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81277886, 80991848, 5, Sex/Life: Season 2, Sex/Life, Season 2
81654990, 81422314, 6, Mr. Queen, Mr. Queen, Mr. Queen
81001045, 80991848, 7, Sex/Life: Season 1, Sex/Life, Season 1
81594876, 81594875, 8, Unlock My Boss, Unlock My Boss, Unlock My Boss
81655019, 81410834, 9, True Beauty, True Beauty, True Beauty
80212200, 80211991, 10, You: Season 1, You, Season 1
