id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81396407, 81396406, 2, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1
81609359, 81609358, 3, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1
80226859, 80211991, 4, You: Season 4, You, Season 4
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2
80035484, 80035684, 6, Pablo Escobar, el patrón del mal: Season 1, Pablo Escobar, el patrón del mal, Season 1
81481492, 81478080, 7, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
81229164, 70205672, 8, La Reina del Sur: Season 3, La Reina del Sur, Season 3
81317563, 81317562, 9, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81212197, 81307163, 10, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
