id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 3
81609359, 81609358, 2, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1, 22
80226859, 80211991, 3, You: Season 4, You, Season 4, 4
80035484, 80035684, 4, Pablo Escobar&#44; el patrón del mal: Season 1, Pablo Escobar&#44; el patrón del mal, Season 1, 88
81481492, 81478080, 5, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81396407, 81396406, 6, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1, 44
81229164, 70205672, 7, La Reina del Sur: Season 3, La Reina del Sur, Season 3, 12
81209173, 80236319, 8, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81317563, 81317562, 9, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
81212197, 81307163, 10, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
