id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2
80226859, 80211991, 3, You: Season 4, You, Season 4
81317563, 81317562, 4, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81277886, 80991848, 5, Sex/Life: Season 2, Sex/Life, Season 2
81212197, 81307163, 6, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81481492, 81478080, 7, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
80236529, 80236319, 8, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81174954, 80026226, 9, PAW Patrol: Season 6, PAW Patrol, Season 6
81045779, 80026226, 10, PAW Patrol: Season 5, PAW Patrol, Season 5
