id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81594876, 81594875, 2, Unlock My Boss, Unlock My Boss, Unlock My Boss
81212197, 81307163, 3, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81649878, 81649877, 4, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1
81654990, 81422314, 5, Mr. Queen, Mr. Queen, Mr. Queen
80226859, 80211991, 6, You: Season 4, You, Season 4
81209173, 80236319, 7, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81655019, 81410834, 8, True Beauty, True Beauty, True Beauty
81671940, 81671939, 9, Divorce Attorney Shin: Season 1, Divorce Attorney Shin, Season 1
81493079, 81493078, 10, In the Name of God: A Holy Betrayal: Season 1, In the Name of God: A Holy Betrayal, Season 1
