id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81609359, 81609358, 2, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1
81229164, 70205672, 3, La Reina del Sur: Season 3, La Reina del Sur, Season 3
80141342, 80141259, 4, Surviving Escobar - Alias JJ: Season 1, Surviving Escobar - Alias JJ, Season 1
80035484, 80035684, 5, Pablo Escobar, el patrón del mal: Season 1, Pablo Escobar, el patrón del mal, Season 1
81396407, 81396406, 6, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1
80226859, 80211991, 7, You: Season 4, You, Season 4
81481492, 81478080, 8, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
81317563, 81317562, 9, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81209173, 80236319, 10, Shadow and Bone: Season 2, Shadow and Bone, Season 2
