"average_utility","min_utility","max_utility","generation"
1393,885,2233,1
1479,943,2233,2
1592,1044,2422,3
1714,1145,2502,4
1849,1308,2502,5
1973,1419,2547,6
2074,1535,2713,7
2155,1535,2713,8
2221,1669,2713,9
2278,1669,2713,10
2327,1775,2713,11
2367,1785,2713,12
2400,1950,2713,13
2436,1957,2713,14
2464,1957,2713,15
2490,1957,2713,16
2509,2008,2713,17
2528,2051,2713,18
2544,2051,2713,19
2559,2051,2713,20
2573,2051,2713,21
2583,2051,2713,22
2595,2140,2713,23
2605,2140,2713,24
2613,2140,2713,25
2620,2140,2713,26
2627,2174,2713,27
2634,2174,2713,28
2641,2178,2713,29
2648,2178,2713,30
2654,2178,2713,31
2659,2178,2713,32
2663,2178,2713,33
2665,2178,2713,34
2669,2178,2713,35
2671,2178,2713,36
2673,2178,2713,37
2674,2178,2713,38
2676,2178,2713,39
2676,2178,2713,40
2677,2178,2713,41
2678,2178,2713,42
2679,2178,2713,43
2679,2178,2713,44
2679,2178,2713,45
2679,2178,2713,46
2679,2178,2713,47
2680,2178,2713,48
2680,2178,2713,49
2680,2178,2713,50
2680,2178,2713,51
2680,2178,2713,52
2680,2178,2713,53
2680,2178,2713,54
2680,2178,2713,55
2680,2178,2713,56
2680,2178,2713,57
2680,2178,2713,58
2680,2178,2713,59
2680,2178,2713,60
2680,2178,2713,61
2680,2178,2713,62
2680,2178,2713,63
2680,2178,2713,64
2680,2178,2713,65
2680,2178,2713,66
2680,2178,2713,67
2680,2178,2713,68
2680,2178,2713,69
2680,2178,2713,70
2680,2178,2713,71
2680,2178,2713,72
2680,2178,2713,73
2680,2178,2713,74
2680,2178,2713,75
2680,2178,2713,76
2680,2178,2713,77
2680,2178,2713,78
2680,2178,2713,79
2680,2178,2713,80
2680,2178,2713,81
2680,2178,2713,82
2680,2178,2713,83
2680,2178,2713,84
2680,2178,2713,85
2680,2178,2713,86
2680,2178,2713,87
2680,2178,2713,88
2680,2178,2713,89
2680,2178,2713,90
2680,2178,2713,91
2680,2178,2713,92
2680,2178,2713,93
2680,2178,2713,94
2680,2178,2713,95
2680,2178,2713,96
2680,2178,2713,97
2680,2178,2713,98
2680,2178,2713,99
2680,2178,2713,100
2680,2178,2713,101
2680,2178,2713,102
2680,2178,2713,103
2680,2178,2713,104
2680,2178,2713,105
2680,2178,2713,106
2680,2178,2713,107
2680,2178,2713,108
2680,2178,2713,109
2680,2178,2713,110
2680,2178,2713,111
2680,2178,2713,112
2680,2178,2713,113
2680,2178,2713,114
2680,2178,2713,115
2680,2178,2713,116
2680,2178,2713,117
2680,2178,2713,118
2680,2178,2713,119
2680,2178,2713,120
2680,2178,2713,121
2680,2178,2713,122
2680,2178,2713,123
2680,2178,2713,124
2680,2178,2713,125
2680,2178,2713,126
2680,2178,2713,127
2680,2178,2713,128
2680,2178,2713,129
2680,2178,2713,130
2680,2178,2713,131
2680,2178,2713,132
2680,2178,2713,133
2680,2178,2713,134
2680,2178,2713,135
2680,2178,2713,136
2680,2178,2713,137
2680,2178,2713,138
2680,2178,2713,139
2680,2178,2713,140
2680,2178,2713,141
2680,2178,2713,142
2680,2178,2713,143
2680,2178,2713,144
2680,2178,2713,145
2680,2178,2713,146
2680,2178,2713,147
2680,2178,2713,148
2680,2178,2713,149
2680,2178,2713,150
2680,2178,2713,151
2680,2178,2713,152
2680,2178,2713,153
2680,2178,2713,154
2680,2178,2713,155
2680,2178,2713,156
2680,2178,2713,157
2680,2178,2713,158
2680,2178,2713,159
2680,2178,2713,160
2680,2178,2713,161
2680,2178,2713,162
2680,2178,2713,163
2680,2178,2713,164
2680,2178,2713,165
2680,2178,2713,166
2680,2178,2713,167
2680,2178,2713,168
2680,2178,2713,169
2680,2178,2713,170
2680,2178,2713,171
2680,2178,2713,172
2680,2178,2713,173
2680,2178,2713,174
2680,2178,2713,175
2680,2178,2713,176
2680,2178,2713,177
2680,2178,2713,178
2680,2178,2713,179
2680,2178,2713,180
2680,2178,2713,181
2680,2178,2713,182
2680,2178,2713,183
2680,2178,2713,184
2680,2178,2713,185
2680,2178,2713,186
2680,2178,2713,187
