vote_method,generation,seed,winner_id,winning_utility
borda, 1, 125736,13,1398
borda, 2, 125736,13,1398
borda, 3, 125736,13,1398
borda, 4, 125736,13,1398
borda, 5, 125736,13,1398
borda, 6, 125736,275,1678
borda, 7, 125736,326,2083
borda, 8, 125736,326,2083
borda, 9, 125736,366,2224
borda, 10, 125736,366,2224
borda, 11, 125736,460,2236
borda, 12, 125736,460,2236
borda, 13, 125736,460,2236
borda, 14, 125736,538,2513
borda, 15, 125736,538,2513
borda, 16, 125736,538,2513
borda, 17, 125736,538,2513
borda, 18, 125736,538,2513
borda, 19, 125736,538,2513
borda, 20, 125736,751,2586
borda, 21, 125736,751,2586
borda, 22, 125736,751,2586
borda, 23, 125736,751,2586
borda, 24, 125736,751,2586
borda, 25, 125736,751,2586
borda, 26, 125736,751,2586
borda, 27, 125736,751,2586
borda, 28, 125736,751,2586
borda, 29, 125736,1045,2713
borda, 30, 125736,1045,2713
borda, 31, 125736,1045,2713
borda, 32, 125736,1045,2713
borda, 33, 125736,1170,2713
borda, 34, 125736,1170,2713
borda, 35, 125736,1170,2713
borda, 36, 125736,1170,2713
borda, 37, 125736,1170,2713
borda, 38, 125736,1170,2713
borda, 39, 125736,1170,2713
borda, 40, 125736,1170,2713
borda, 41, 125736,1170,2713
borda, 42, 125736,1170,2713
borda, 43, 125736,1170,2713
borda, 44, 125736,1489,2713
borda, 45, 125736,1555,2713
borda, 46, 125736,1612,2713
borda, 47, 125736,1635,2713
borda, 48, 125736,1635,2713
borda, 49, 125736,1714,2713
borda, 50, 125736,1714,2713
borda, 1, 171373,117,1160
borda, 2, 171373,144,1608
borda, 3, 171373,144,1608
borda, 4, 171373,144,1608
borda, 5, 171373,144,1608
borda, 6, 171373,286,1707
borda, 7, 171373,306,2051
borda, 8, 171373,306,2051
borda, 9, 171373,379,2175
borda, 10, 171373,379,2175
borda, 11, 171373,433,2369
borda, 12, 171373,433,2369
borda, 13, 171373,433,2369
borda, 14, 171373,540,2423
borda, 15, 171373,540,2423
borda, 16, 171373,540,2423
borda, 17, 171373,660,2583
borda, 18, 171373,660,2583
borda, 19, 171373,660,2583
borda, 20, 171373,660,2583
borda, 21, 171373,660,2583
borda, 22, 171373,660,2583
borda, 23, 171373,840,2583
borda, 24, 171373,840,2583
borda, 25, 171373,921,2583
borda, 26, 171373,921,2583
borda, 27, 171373,921,2583
borda, 28, 171373,992,2713
borda, 29, 171373,992,2713
borda, 30, 171373,992,2713
borda, 31, 171373,992,2713
borda, 32, 171373,992,2713
borda, 33, 171373,992,2713
borda, 34, 171373,992,2713
borda, 35, 171373,992,2713
borda, 36, 171373,992,2713
borda, 37, 171373,1307,2713
borda, 38, 171373,1307,2713
borda, 39, 171373,1307,2713
borda, 40, 171373,1307,2713
borda, 41, 171373,1307,2713
borda, 42, 171373,1307,2713
borda, 43, 171373,1307,2713
borda, 44, 171373,1307,2713
borda, 45, 171373,1307,2713
borda, 46, 171373,1593,2713
borda, 47, 171373,1626,2713
borda, 48, 171373,1655,2713
borda, 1, 111487,116,1354
borda, 2, 111487,145,1363
borda, 3, 111487,197,1965
borda, 4, 111487,197,1965
borda, 5, 111487,197,1965
borda, 6, 111487,285,2080
borda, 7, 111487,309,2192
borda, 8, 111487,309,2192
borda, 9, 111487,388,2232
borda, 10, 111487,388,2232
borda, 11, 111487,388,2232
borda, 12, 111487,493,2275
borda, 13, 111487,515,2415
borda, 14, 111487,541,2418
borda, 15, 111487,541,2418
borda, 16, 111487,541,2418
borda, 17, 111487,541,2418
borda, 18, 111487,541,2418
borda, 19, 111487,541,2418
borda, 20, 111487,541,2418
borda, 21, 111487,541,2418
borda, 22, 111487,541,2418
borda, 23, 111487,541,2418
borda, 24, 111487,882,2448
borda, 25, 111487,882,2448
borda, 26, 111487,950,2484
borda, 27, 111487,958,2499
borda, 28, 111487,958,2499
borda, 29, 111487,1045,2614
borda, 30, 111487,1045,2614
borda, 31, 111487,1097,2614
borda, 32, 111487,1097,2614
borda, 33, 111487,1097,2614
borda, 34, 111487,1097,2614
borda, 35, 111487,1236,2642
borda, 36, 111487,1236,2642
borda, 37, 111487,1236,2642
borda, 38, 111487,1236,2642
borda, 39, 111487,1236,2642
borda, 40, 111487,1236,2642
borda, 41, 111487,1429,2713
borda, 42, 111487,1429,2713
borda, 43, 111487,1429,2713
borda, 44, 111487,1429,2713
borda, 45, 111487,1556,2713
borda, 46, 111487,1556,2713
borda, 47, 111487,1556,2713
borda, 48, 111487,1671,2713
borda, 49, 111487,1671,2713
borda, 50, 111487,1671,2713
borda, 51, 111487,1671,2713
borda, 52, 111487,1671,2713
borda, 53, 111487,1671,2713
borda, 54, 111487,1671,2713
borda, 55, 111487,1671,2713
borda, 56, 111487,1671,2713
borda, 57, 111487,1671,2713
borda, 58, 111487,1671,2713
borda, 59, 111487,1671,2713
borda, 60, 111487,2059,2713
borda, 61, 111487,2059,2713
borda, 62, 111487,2089,2713
borda, 1, 99693,126,1587
borda, 2, 99693,126,1587
borda, 3, 99693,126,1587
borda, 4, 99693,126,1587
borda, 5, 99693,126,1587
borda, 6, 99693,272,1640
borda, 7, 99693,272,1640
borda, 8, 99693,337,1921
borda, 9, 99693,388,1941
borda, 10, 99693,400,2163
borda, 11, 99693,445,2328
borda, 12, 99693,445,2328
borda, 13, 99693,501,2416
borda, 14, 99693,501,2416
borda, 15, 99693,501,2416
borda, 16, 99693,501,2416
borda, 17, 99693,501,2416
borda, 18, 99693,662,2614
borda, 19, 99693,662,2614
borda, 20, 99693,662,2614
borda, 21, 99693,662,2614
borda, 22, 99693,662,2614
borda, 23, 99693,836,2642
borda, 24, 99693,836,2642
borda, 25, 99693,836,2642
borda, 26, 99693,836,2642
borda, 27, 99693,836,2642
borda, 28, 99693,836,2642
borda, 29, 99693,836,2642
borda, 30, 99693,1082,2713
borda, 31, 99693,1082,2713
borda, 32, 99693,1082,2713
borda, 33, 99693,1187,2713
borda, 34, 99693,1187,2713
borda, 35, 99693,1187,2713
borda, 36, 99693,1266,2713
borda, 37, 99693,1266,2713
borda, 38, 99693,1327,2713
borda, 39, 99693,1327,2713
borda, 40, 99693,1327,2713
borda, 41, 99693,1327,2713
borda, 42, 99693,1456,2713
borda, 43, 99693,1456,2713
borda, 44, 99693,1456,2713
borda, 45, 99693,1456,2713
borda, 46, 99693,1456,2713
borda, 47, 99693,1456,2713
borda, 1, 560062,6,1087
borda, 2, 560062,149,1252
borda, 3, 560062,149,1252
borda, 4, 560062,200,1353
borda, 5, 560062,256,1647
borda, 6, 560062,256,1647
borda, 7, 560062,256,1647
borda, 8, 560062,338,1994
borda, 9, 560062,377,2042
borda, 10, 560062,407,2127
borda, 11, 560062,462,2311
borda, 12, 560062,462,2311
borda, 13, 560062,462,2311
borda, 14, 560062,462,2311
borda, 15, 560062,565,2356
borda, 16, 560062,565,2356
borda, 17, 560062,652,2642
borda, 18, 560062,652,2642
borda, 19, 560062,652,2642
borda, 20, 560062,652,2642
borda, 21, 560062,652,2642
borda, 22, 560062,652,2642
borda, 23, 560062,652,2642
borda, 24, 560062,652,2642
borda, 25, 560062,652,2642
borda, 26, 560062,946,2642
borda, 27, 560062,946,2642
borda, 28, 560062,946,2642
borda, 29, 560062,946,2642
borda, 30, 560062,946,2642
borda, 31, 560062,946,2642
borda, 32, 560062,946,2642
borda, 33, 560062,946,2642
borda, 34, 560062,946,2642
borda, 35, 560062,946,2642
borda, 36, 560062,946,2642
borda, 37, 560062,946,2642
borda, 38, 560062,946,2642
borda, 39, 560062,946,2642
borda, 40, 560062,946,2642
borda, 41, 560062,946,2642
borda, 42, 560062,1483,2713
borda, 43, 560062,1508,2713
borda, 44, 560062,1508,2713
borda, 45, 560062,1508,2713
borda, 46, 560062,1508,2713
borda, 47, 560062,1508,2713
borda, 48, 560062,1508,2713
borda, 49, 560062,1508,2713
borda, 50, 560062,1508,2713
borda, 51, 560062,1508,2713
borda, 52, 560062,1508,2713
borda, 53, 560062,1508,2713
borda, 54, 560062,1508,2713
borda, 55, 560062,1508,2713
borda, 56, 560062,1508,2713
borda, 57, 560062,1508,2713
borda, 58, 560062,1508,2713
borda, 1, 181725,49,1395
borda, 2, 181725,160,1490
borda, 3, 181725,184,1635
borda, 4, 181725,209,1925
borda, 5, 181725,209,1925
borda, 6, 181725,288,1937
borda, 7, 181725,321,2212
borda, 8, 181725,321,2212
borda, 9, 181725,321,2212
borda, 10, 181725,321,2212
borda, 11, 181725,321,2212
borda, 12, 181725,321,2212
borda, 13, 181725,321,2212
borda, 14, 181725,531,2214
borda, 15, 181725,567,2519
borda, 16, 181725,567,2519
borda, 17, 181725,647,2529
borda, 18, 181725,647,2529
borda, 19, 181725,701,2713
borda, 20, 181725,701,2713
borda, 21, 181725,701,2713
borda, 22, 181725,701,2713
borda, 23, 181725,701,2713
borda, 24, 181725,890,2713
borda, 25, 181725,890,2713
borda, 26, 181725,890,2713
borda, 27, 181725,890,2713
borda, 28, 181725,890,2713
borda, 29, 181725,890,2713
borda, 30, 181725,890,2713
borda, 31, 181725,890,2713
borda, 32, 181725,890,2713
borda, 33, 181725,890,2713
