"average_utility","min_utility","max_utility","generation"
1388,807,2211,1
1485,937,2282,2
1598,996,2282,3
1728,1213,2519,4
1845,1348,2519,5
1965,1444,2581,6
2061,1504,2584,7
2146,1504,2642,8
2223,1612,2713,9
2285,1732,2713,10
2329,1744,2713,11
2368,1769,2713,12
2409,1769,2713,13
2444,1769,2713,14
2471,1796,2713,15
2497,1803,2713,16
2518,1803,2713,17
2539,1871,2713,18
2558,1871,2713,19
2572,1903,2713,20
2587,2047,2713,21
2598,2047,2713,22
2608,2075,2713,23
2617,2075,2713,24
2627,2075,2713,25
2635,2075,2713,26
2643,2166,2713,27
2650,2166,2713,28
2655,2166,2713,29
2660,2166,2713,30
2664,2166,2713,31
2668,2166,2713,32
2672,2166,2713,33
2674,2166,2713,34
2677,2166,2713,35
2678,2166,2713,36
2679,2166,2713,37
2681,2166,2713,38
2681,2166,2713,39
2682,2166,2713,40
2682,2166,2713,41
2683,2166,2713,42
2683,2166,2713,43
2683,2166,2713,44
2683,2166,2713,45
2683,2166,2713,46
2683,2166,2713,47
2684,2166,2713,48
2684,2166,2713,49
2684,2166,2713,50
2684,2166,2713,51
2684,2166,2713,52
2684,2166,2713,53
2684,2166,2713,54
2684,2166,2713,55
2684,2166,2713,56
2684,2166,2713,57
2684,2166,2713,58
2684,2166,2713,59
2684,2166,2713,60
2684,2166,2713,61
2684,2166,2713,62
2684,2166,2713,63
2684,2166,2713,64
2684,2166,2713,65
2684,2166,2713,66
2684,2166,2713,67
2684,2166,2713,68
2684,2166,2713,69
2684,2166,2713,70
2684,2166,2713,71
2684,2166,2713,72
2684,2166,2713,73
2684,2166,2713,74
2684,2166,2713,75
2684,2166,2713,76
2684,2166,2713,77
2684,2166,2713,78
2684,2166,2713,79
2684,2166,2713,80
2684,2166,2713,81
2684,2166,2713,82
2684,2166,2713,83
2684,2166,2713,84
2684,2166,2713,85
2684,2166,2713,86
2684,2166,2713,87
2684,2166,2713,88
2684,2166,2713,89
2684,2166,2713,90
2684,2166,2713,91
2684,2166,2713,92
2684,2166,2713,93
2684,2166,2713,94
2684,2166,2713,95
2684,2166,2713,96
2684,2166,2713,97
2684,2166,2713,98
2684,2166,2713,99
2684,2166,2713,100
2684,2166,2713,101
2684,2166,2713,102
2684,2166,2713,103
2684,2166,2713,104
2684,2166,2713,105
2684,2166,2713,106
2684,2166,2713,107
2684,2166,2713,108
2684,2166,2713,109
2684,2166,2713,110
2684,2166,2713,111
2684,2166,2713,112
2684,2166,2713,113
2684,2166,2713,114
2684,2166,2713,115
2684,2166,2713,116
2684,2166,2713,117
2684,2166,2713,118
2684,2166,2713,119
2684,2166,2713,120
2684,2166,2713,121
2684,2166,2713,122
2684,2166,2713,123
2684,2166,2713,124
2684,2166,2713,125
2684,2166,2713,126
2684,2166,2713,127
2684,2166,2713,128
2684,2166,2713,129
2684,2166,2713,130
2684,2166,2713,131
2684,2166,2713,132
2684,2166,2713,133
2684,2166,2713,134
2684,2166,2713,135
2684,2166,2713,136
2684,2166,2713,137
2684,2166,2713,138
2684,2166,2713,139
2684,2166,2713,140
2684,2166,2713,141
2684,2166,2713,142
2684,2166,2713,143
2684,2166,2713,144
2684,2166,2713,145
2684,2166,2713,146
2684,2166,2713,147
2684,2166,2713,148
2684,2166,2713,149
2684,2166,2713,150
2684,2166,2713,151
2684,2166,2713,152
2684,2166,2713,153
2684,2166,2713,154
2684,2166,2713,155
2684,2166,2713,156
2684,2166,2713,157
2684,2166,2713,158
2684,2166,2713,159
2684,2166,2713,160
2684,2166,2713,161
2684,2166,2713,162
2684,2166,2713,163
2684,2166,2713,164
2684,2166,2713,165
2684,2166,2713,166
2684,2166,2713,167
2684,2166,2713,168
2684,2166,2713,169
2684,2166,2713,170
2684,2166,2713,171
2684,2166,2713,172
2684,2166,2713,173
2684,2166,2713,174
2684,2166,2713,175
2684,2166,2713,176
2684,2166,2713,177
2684,2166,2713,178
2684,2166,2713,179
2684,2166,2713,180
2684,2166,2713,181
2684,2166,2713,182
2684,2166,2713,183
2684,2166,2713,184
2684,2166,2713,185
2684,2166,2713,186
2684,2166,2713,187
2684,2166,2713,188
2684,2166,2713,189
2684,2166,2713,190
2684,2166,2713,191
2684,2166,2713,192
2684,2166,2713,193
2684,2166,2713,194
2684,2166,2713,195
2684,2166,2713,196
2684,2166,2713,197
2684,2166,2713,198
2684,2166,2713,199
2684,2166,2713,200
2684,2166,2713,201
2684,2166,2713,202
2684,2166,2713,203
2684,2166,2713,204
2684,2166,2713,205
2684,2166,2713,206
2684,2166,2713,207
2684,2166,2713,208
2684,2166,2713,209
2684,2166,2713,210
2684,2166,2713,211
2684,2166,2713,212
2684,2166,2713,213
2684,2166,2713,214
2684,2166,2713,215
2684,2166,2713,216
2684,2166,2713,217
2684,2166,2713,218
2684,2166,2713,219
2684,2166,2713,220
2684,2166,2713,221
2684,2166,2713,222
2684,2166,2713,223
2684,2166,2713,224
2684,2166,2713,225
2684,2166,2713,226
2684,2166,2713,227
2684,2166,2713,228
2684,2166,2713,229
2684,2166,2713,230
2684,2166,2713,231
2684,2166,2713,232
2684,2166,2713,233
2684,2166,2713,234
2684,2166,2713,235
2684,2166,2713,236
2684,2166,2713,237
2684,2166,2713,238
2684,2166,2713,239
2684,2166,2713,240
2684,2166,2713,241
2684,2166,2713,242
2684,2166,2713,243
2684,2166,2713,244
2684,2166,2713,245
2684,2166,2713,246
2684,2166,2713,247
2684,2166,2713,248
2684,2166,2713,249
2684,2166,2713,250
2684,2166,2713,251
2684,2166,2713,252
2684,2166,2713,253
2684,2166,2713,254
2684,2166,2713,255
2684,2166,2713,256
2684,2166,2713,257
2684,2166,2713,258
2684,2166,2713,259
2684,2166,2713,260
2684,2166,2713,261
2684,2166,2713,262
2684,2166,2713,263
2684,2166,2713,264
2684,2166,2713,265
2684,2166,2713,266
2684,2166,2713,267
2684,2166,2713,268
2684,2166,2713,269
2684,2166,2713,270
2684,2166,2713,271
2684,2166,2713,272
2684,2166,2713,273
2684,2166,2713,274
2684,2166,2713,275
2684,2166,2713,276
2684,2166,2713,277
2684,2166,2713,278
2684,2166,2713,279
2684,2166,2713,280
2684,2166,2713,281
2684,2166,2713,282
2684,2166,2713,283
2684,2166,2713,284
2684,2166,2713,285
2684,2166,2713,286
2684,2166,2713,287
2684,2166,2713,288
